id,name,image,symbol,companyName,founded,price,beta,volAvg,mktCap,lastDiv,range,changes,currency,cik,isin,cusip,exchange,exchangeShortName,industry,website,description,ceo,sector,country,fullTimeEmployees,phone,address,city,state,zip,dcfDiff,dcf,ipoDate,defaultImage,isEtf,isActivelyTrading,isAdr,isFund
17,Deutsche Bahn,Deutsche_Bahn_image.png,DBN.DE,Deutsche Bahn AG,1994,,,,,,,,,,,,,,,,Die Deutsche Bahn AG ist ein deutsches Eisenbahnunternehmen mit Sitz in Berlin. Das Unternehmen ist einer der führenden Anbieter von Mobilitäts- und Logistikdienstleistungen in Deutschland und Europa. Die Deutsche Bahn betreibt ein umfangreiches Schienennetz und bietet verschiedene Bahnprodukte für Passagiere und Fracht an. Mit einer langen Geschichte im Schienenverkehr spielt die Deutsche Bahn eine wichtige Rolle im öffentlichen Verkehrswesen und ist bekannt für ihre Zuverlässigkeit und Effizienz.,Dr. Richard Lutz,,,,,,,,,,,,False,False,True,False,False
18,EnBW,EnBW_image.png,ENBW.DE,EnBW Energie Baden-Württemberg AG,1997,,,,,,,,,,,,,,,,"Die EnBW Energie Baden-Württemberg AG ist ein Energieunternehmen mit Sitz in Karlsruhe. Das Unternehmen ist einer der größten Energieversorger in Deutschland und bietet Strom, Gas und weitere energienahe Dienstleistungen an. EnBW hat eine lange Geschichte in der Energiebranche und ist bekannt für sein Engagement im Bereich erneuerbare Energien.",Frank Mastiaux,,,,,,,,,,,,False,False,True,False,False
19,Daimler Truck,Daimler_Truck_image.png,DAI.DE,Daimler Truck,1896,,,,,,,,,,,,,,,,"Daimler Truck ist ein weltweit führender Hersteller von Nutzfahrzeugen mit Schwerpunkt auf Lkw und Bussen. Das Unternehmen hat eine lange Geschichte in der Automobilbranche und ist bekannt für seine innovativen Technologien und qualitativ hochwertigen Produkte. Daimler Truck hat eine starke Marktposition und ist in vielen Ländern präsent. Wichtige Fakten sind unter anderem die globale Präsenz, die breite Produktpalette und das Engagement für Nachhaltigkeit.",Martin Daum,,,,,,,,,,,,False,False,False,False,False
20,Bayer,Bayer_image.png,BAYN,Bayer AG,1863,,,,,,,,,,,,,,,,"Die Bayer AG ist ein deutsches multinational agierendes Unternehmen mit Schwerpunkt in den Bereichen Gesundheit und Agrarwirtschaft. Das Unternehmen wurde 1863 gegründet und hat sich zu einem der weltweit führenden Unternehmen in der Pharmaindustrie entwickelt. Bayer ist bekannt für seine Innovationen in den Bereichen Medikamente, Pflanzenschutz und Saatgut. Das Unternehmen hat eine starke Marktposition und ist in über 90 Ländern tätig.",Werner Baumann,,,,,,,,,,,,False,False,True,False,False
21,Traton,Traton_image.png,TTN,Traton SE,2019,,,,,,,,,,,,,,,,"Traton SE ist ein weltweit führender Nutzfahrzeughersteller mit den Marken MAN, Scania, Volkswagen Caminhões e Ônibus und RIO. Das Unternehmen bietet eine breite Palette von Transportlösungen an und ist bekannt für seine Innovationskraft und Qualität. Traton hat eine starke Marktposition in Europa, Südamerika und anderen Regionen.",Matthias Gründler,,,,,,,,,,,,False,False,True,False,False
22,BP,BP_image.png,BP,BP plc,1909,,,,,,,,,,,,,,,,"BP ist ein globales Energieunternehmen, das sich auf die Exploration, Förderung, Raffinerie, Vermarktung und Verteilung von Öl, Gas und erneuerbaren Energien konzentriert. Das Unternehmen hat eine lange Geschichte in der Energiebranche und ist einer der größten Akteure weltweit. BP ist bekannt für seine Bemühungen um Nachhaltigkeit und den Übergang zu saubereren Energiequellen.",Bernard Looney,,,,,,,,,,,,False,False,False,False,False
23,Thüga,Thüga_image.png,NONE,Thüga AG,1867,,,,,,,,,,,,,,,,"Die Thüga AG ist ein deutsches Unternehmen, das sich auf die Bereitstellung von Dienstleistungen im Bereich der Energieversorgung und -verteilung spezialisiert hat. Gegründet im Jahr 1867, hat sich Thüga zu einem führenden Akteur in der Energiebranche entwickelt. Das Unternehmen bietet eine breite Palette von Dienstleistungen für Privat- und Geschäftskunden an und ist bekannt für seine Innovationskraft und Zuverlässigkeit.",Max Mustermann,,,,,,,,,,,,False,False,False,False,False
24,ZF,ZF_image.png,ZF,ZF Friedrichshafen AG,1915,,,,,,,,,,,,,,,,Die ZF Friedrichshafen AG ist ein weltweit führender Technologiekonzern in der Antriebs- und Fahrwerktechnik. Das Unternehmen wurde 1915 gegründet und hat sich seitdem zu einem wichtigen Zulieferer für die Automobilindustrie entwickelt. ZF ist bekannt für seine innovativen Lösungen und seine starke Marktposition in verschiedenen Segmenten der Fahrzeugtechnik.,Wolf-Henning Scheider,,,,,,,,,,,,False,False,False,False,False
25,Continental,Continental_image.png,CON,Continental AG,1871,,,,,,,,,,,,,,,,"Continental AG ist ein deutscher Automobilzulieferer mit Schwerpunkt auf Reifen, Bremsen, Antrieben und anderen Fahrzeugkomponenten. Das Unternehmen wurde 1871 gegründet und hat sich zu einem der weltweit führenden Anbieter in der Automobilindustrie entwickelt. Continental ist bekannt für seine Innovationskraft, Qualität und globale Präsenz.",Dr. Elmar Degenhart,,,,,,,,,,,,False,False,True,False,False
26,ThyssenKrupp,ThyssenKrupp_image.png,NONE,ThyssenKrupp,1999,,,,,,,,,,,,,,,,"ThyssenKrupp ist ein deutscher Industriekonzern, der in den Bereichen Stahlproduktion, Aufzugs- und Rolltreppenbau, Anlagenbau und Industriedienstleistungen tätig ist. Das Unternehmen hat eine lange Geschichte und ist bekannt für seine Innovationskraft und technologische Expertise. ThyssenKrupp ist international tätig und zählt zu den führenden Unternehmen in seinen Geschäftsfeldern.",Martina Merz,,,,,,,,,,,,False,False,False,False,False
27,Fresenius,Fresenius_image.png,FRE,Fresenius SE & Co. KGaA,1912,,,,,,,,,,,,,,,,"Fresenius ist ein weltweit tätiges Gesundheitsunternehmen mit den Schwerpunkten Krankenhausversorgung, Medizintechnik, Arzneimittel und Medizinprodukte. Das Unternehmen wurde 1912 gegründet und hat sich zu einem der führenden Anbieter im Gesundheitssektor entwickelt. Fresenius ist bekannt für seine innovativen Lösungen und seine starke Marktposition in verschiedenen Bereichen der Gesundheitsversorgung.",Stephan Sturm,,,,,,,,,,,,False,False,True,False,False
28,Porsche,Porsche_image.png,PAH3,Porsche Automobil Holding SE,1931,,,,,,,,,,,,,,,,"Porsche Automobil Holding SE ist eine deutsche Holdinggesellschaft, die sich hauptsächlich mit dem Automobilbereich befasst. Das Unternehmen wurde 1931 gegründet und hat eine bedeutende Geschichte in der Automobilbranche. Porsche Automobil Holding SE ist bekannt für seine Sportwagen und Luxusfahrzeuge und hat eine starke Marktposition in der Automobilindustrie. Der CEO des Unternehmens ist Oliver Blume.",Oliver Blume,,,,,,,,,,,,False,False,True,False,False
29,RWE,RWE_image.png,RWE,RWE AG,1898,,,,,,,,,,,,,,,,"RWE ist ein deutsches Energieunternehmen mit Fokus auf erneuerbare Energien, Stromerzeugung und Energiehandel. Das Unternehmen hat eine lange Geschichte in der Energiebranche und zählt zu den führenden Energieversorgern in Europa. RWE ist bekannt für seine Bemühungen im Bereich der Nachhaltigkeit und Energiewende.",Markus Krebber,,,,,,,,,,,,False,False,True,False,False
30,Phoenix Pharma,Phoenix_Pharma_image.png,NONE,Phoenix Pharma,1995,,,,,,,,,,,,,,,,"Phoenix Pharma ist ein führendes Unternehmen in der Pharmaindustrie, das sich auf die Entwicklung und Vermarktung innovativer Arzneimittel spezialisiert hat. Gegründet im Jahr 1995, hat sich das Unternehmen durch seine hochwertigen Produkte und seine starke Marktposition international einen Namen gemacht. Der Fokus liegt auf der Erforschung neuer Behandlungsmöglichkeiten und der Verbesserung der Lebensqualität von Patienten.",Dr. Anna Müller,,,,,,,,,,,,False,False,False,False,False
31,Kaufland,Kaufland_image.png,NONE,Kaufland,1930,,,,,,,,,,,,,,,,"Kaufland ist eine deutsche Supermarktkette, die zur Schwarz Gruppe gehört. Das Unternehmen wurde 1930 gegründet und hat sich zu einem der größten Einzelhändler in Europa entwickelt. Kaufland bietet eine breite Palette an Lebensmitteln und Non-Food-Produkten an und ist für sein gutes Preis-Leistungs-Verhältnis bekannt.",Rolf Schumann,,,,,,,,,,,,False,False,False,False,False
32,Shell,Shell_image.png,RDS.A,Royal Dutch Shell plc,1907,,,,,,,,,,,,,,,,"Royal Dutch Shell plc ist ein globales Energieunternehmen, das in den Bereichen Öl, Gas und erneuerbare Energien tätig ist. Das Unternehmen hat eine lange Geschichte und ist einer der größten Akteure in der Energiebranche. Royal Dutch Shell plc ist bekannt für seine Innovationskraft, seine Marktposition und sein Engagement für Nachhaltigkeit.",Ben van Beurden,,,,,,,,,,,,False,False,True,False,False
33,Lufthansa,Lufthansa_image.png,LHA,Deutsche Lufthansa AG,1926,,,,,,,,,,,,,,,,Die Deutsche Lufthansa AG ist eine der größten Fluggesellschaften Europas mit Sitz in Deutschland. Das Unternehmen wurde 1926 gegründet und hat sich zu einem wichtigen Player in der Luftfahrtbranche entwickelt. Lufthansa bietet ein breites Spektrum an Flugdienstleistungen an und ist bekannt für seine Zuverlässigkeit und Qualität. Mit einer starken Marktposition und einer langen Geschichte ist Lufthansa ein bedeutender Akteur im globalen Luftverkehrsmarkt.,Carsten Spohr,,,,,,,,,,,,False,False,True,False,False
34,Amazon,Amazon_image.png,AMZN,"Amazon.com, Inc.",1994,,,,,,,,,,,,,,,,"Amazon.com, Inc. ist ein weltweit führendes Technologieunternehmen, das sich auf E-Commerce, Cloud-Computing, künstliche Intelligenz und digitale Streaming-Services spezialisiert hat. Das Unternehmen wurde 1994 von Jeff Bezos gegründet und hat sich seitdem zu einem der wertvollsten Unternehmen der Welt entwickelt. Amazon ist bekannt für seinen Online-Marktplatz, Amazon Web Services (AWS) und das Prime-Abonnementprogramm. Das Unternehmen hat eine starke Marktposition und ist für seine Innovationskraft und Kundenorientierung bekannt.",Jeff Bezos,,,,,,,,,,,,False,False,True,False,False
35,SAP,SAP_image.png,SAP,SAP SE,1972,,,,,,,,,,,,,,,,"SAP SE ist ein deutsches multinationales Softwareunternehmen, das sich auf Unternehmenssoftware spezialisiert hat. Das Unternehmen wurde 1972 gegründet und hat sich zu einem der weltweit führenden Anbieter von Unternehmenssoftware entwickelt. SAP bietet eine breite Palette von Softwarelösungen für verschiedene Branchen und Geschäftsbereiche an. Das Unternehmen hat eine starke Marktposition und ist bekannt für seine innovativen Produkte und Lösungen.",Christian Klein,,,,,,,,,,,,False,False,False,False,False
36,Metro,Metro_image.png,MEO.DE,Metro AG,1963,,,,,,,,,,,,,,,,Die Metro AG ist ein deutscher Großhandelskonzern mit Sitz in Düsseldorf. Das Unternehmen ist international tätig und betreibt Großmärkte unter verschiedenen Marken. Metro ist einer der weltweit führenden Anbieter im Großhandelsbereich und beliefert sowohl Gewerbe- als auch Privatkunden mit einem breiten Sortiment an Produkten.,Olaf Koch,,,,,,,,,,,,False,False,True,False,False
37,Linde,Linde_image.png,LIN,Linde plc,1879,,,,,,,,,,,,,,,,"Linde plc ist ein weltweit führender Anbieter von Industriegasen und Engineering-Lösungen für eine Vielzahl von Branchen, darunter Gesundheitswesen, Energie, Umweltschutz und Fertigung. Das Unternehmen entstand aus der Fusion von Linde AG und Praxair, Inc. und hat eine starke Marktposition in der Branche. Linde plc ist bekannt für seine Innovationen und seinen Beitrag zur Nachhaltigkeit.",Steve Angel,,,,,,,,,,,,False,False,True,False,False
38,Derpart,Derpart_image.png,NONE,Derpart,1995,,,,,,,,,,,,,,,,"Derpart ist ein Unternehmen, das sich auf die Bereitstellung von Finanzdienstleistungen spezialisiert hat. Gegründet im Jahr 1995, hat sich Derpart als führender Anbieter in der Branche etabliert. Das Unternehmen bietet eine breite Palette von Dienstleistungen an und zeichnet sich durch seine langjährige Erfahrung und seinen exzellenten Kundenservice aus.",Max Mustermann,,,,,,,,,,,,False,False,False,False,False
39,Vattenfall,Vattenfall_image.png,NONE,Vattenfall,1909,,,,,,,,,,,,,,,,"Vattenfall ist ein schwedisches Energieunternehmen, das sich auf die Erzeugung und den Vertrieb von Strom und Wärme spezialisiert hat. Das Unternehmen wurde 1909 gegründet und hat sich zu einem der größten Energieversorger in Europa entwickelt. Vattenfall ist bekannt für sein Engagement im Bereich erneuerbare Energien und arbeitet kontinuierlich an der Reduzierung seines CO2-Fußabdrucks.",Anna Borg,,,,,,,,,,,,False,False,False,False,False
40,Siemens Energy,Siemens_Energy_image.png,SIEGY,Siemens Energy,1866,,,,,,,,,,,,,,,,Siemens Energy ist ein weltweit führender Anbieter von Energielösungen und -dienstleistungen. Das Unternehmen bietet ein breites Spektrum an Produkten und Dienstleistungen für die Energieerzeugung und -übertragung an. Siemens Energy hat eine lange Geschichte in der Energiebranche und ist bekannt für seine Innovationskraft und technologische Expertise. Das Unternehmen hat eine starke Marktposition und ist in vielen Ländern weltweit präsent.,Christian Bruch,,,,,,,,,,,,False,False,True,False,False
41,Aldi Nord,Aldi_Nord_image.png,NONE,Aldi Nord,1913,,,,,,,,,,,,,,,,"Aldi Nord ist ein international tätiger Discounter mit Hauptsitz in Essen, Deutschland. Das Unternehmen wurde 1913 von den Brüdern Karl und Theo Albrecht gegründet. Aldi Nord ist bekannt für sein Kerngeschäft im Lebensmitteleinzelhandel und hat eine starke Marktposition in Europa. Mit einem Fokus auf günstige Preise und Effizienz hat sich Aldi Nord zu einer der führenden Einzelhandelsketten entwickelt. Das Unternehmen ist für sein schlichtes Ladenlayout und sein begrenztes, aber qualitativ hochwertiges Sortiment bekannt.",Marc Heußinger,,,,,,,,,,,,False,False,True,False,False
42,Mercedes-Benz Mobility,Mercedes-Benz_Mobility_image.png,NONE,Mercedes-Benz Mobility,1926,,,,,,,,,,,,,,,,"Mercedes-Benz Mobility ist ein Unternehmen, das sich auf Mobilitätslösungen spezialisiert hat. Es ist Teil der Daimler AG und bietet verschiedene Dienstleistungen im Bereich der individuellen und geteilten Mobilität an. Das Unternehmen hat eine lange Geschichte in der Automobilbranche und ist bekannt für seine hochwertigen Fahrzeuge und innovativen Technologien. Mercedes-Benz Mobility hat eine starke Marktposition im Premiumsegment und ist weltweit aktiv.",Dieter Zetsche,,,,,,,,,,,,False,False,False,False,False
43,Hochtief,Hochtief_image.png,NONE,Hochtief AG,1873,,,,,,,,,,,,,,,,"Die Hochtief AG ist ein deutsches Bauunternehmen mit Sitz in Essen. Das Unternehmen ist international tätig und gehört zu den weltweit führenden Baukonzernen. Hochtief ist spezialisiert auf komplexe Bauprojekte in den Bereichen Hochbau, Tiefbau und Infrastruktur. Mit einer langen Geschichte und einer starken Marktposition ist Hochtief bekannt für seine Innovationskraft und technische Expertise.",Marcelino Fernández Verdes,,,,,,,,,,,,False,False,False,False,False
44,Volkswagen Leasing,Volkswagen_Leasing_image.png,VWAGY,Volkswagen Leasing,1966,,,,,,,,,,,,,,,,"Volkswagen Leasing ist ein Unternehmen, das sich auf die Finanzierung und Vermietung von Fahrzeugen der Marke Volkswagen spezialisiert hat. Das Unternehmen wurde 1966 gegründet und hat sich seitdem zu einem führenden Anbieter von Leasingdienstleistungen in der Automobilbranche entwickelt. Volkswagen Leasing hat eine starke Marktposition und bietet maßgeschneiderte Finanzierungslösungen für Privat- und Geschäftskunden an.",Max Mustermann,,,,,,,,,,,,False,False,False,False,False
45,Boehringer Ingelheim,Boehringer_Ingelheim_image.png,NONE,Boehringer Ingelheim,1885,,,,,,,,,,,,,,,,"Boehringer Ingelheim ist ein deutsches Pharmaunternehmen mit Schwerpunkt auf Forschung, Entwicklung und Vermarktung von Medikamenten in verschiedenen Therapiebereichen. Das Unternehmen wurde 1885 gegründet und hat sich zu einem globalen Player in der Pharmaindustrie entwickelt. Boehringer Ingelheim ist bekannt für seine Innovationen, insbesondere in den Bereichen Atemwegserkrankungen, Diabetes, Krebs und Immunologie.",Dr. Albert Bourla,,,,,,,,,,,,False,False,True,False,False
46,Heraeus,Heraeus_image.png,NONE,Heraeus,1851,,,,,,,,,,,,,,,,"Die Heraeus-Gruppe ist ein weltweit tätiges deutsches Familienunternehmen mit Schwerpunkt auf Edelmetalle, Werkstoffe und Technologien. Gegründet im Jahr 1851, hat sich Heraeus zu einem führenden Anbieter in verschiedenen Branchen entwickelt. Das Unternehmen ist bekannt für seine Innovationen, seine globale Präsenz und seine langjährige Erfahrung in der Materialwissenschaft. Heraeus spielt eine wichtige Rolle in Bereichen wie Medizin, Elektronik, Chemie und Automobilindustrie.",Jan Rinnert,,,,,,,,,,,,False,False,False,False,False
47,Baywa,Baywa_image.png,BYW6.DE,Baywa AG,1923,,,,,,,,,,,,,,,,"Die Baywa AG ist ein international tätiger Konzern mit den Kerngeschäftsfeldern Agrar, Energie und Bau. Gegründet im Jahr 1923, hat sich das Unternehmen zu einem der führenden Handels- und Dienstleistungsunternehmen in Europa entwickelt. Baywa ist bekannt für seine nachhaltigen Lösungen und innovative Ansätze in den Bereichen erneuerbare Energien und Landwirtschaft. Mit über 17.000 Mitarbeitern weltweit ist Baywa ein wichtiger Akteur auf dem Markt.",Andreas Helber,,,,,,,,,,,,False,False,True,False,False
48,VNG,VNG_image.png,VNG,VNG - Verbundnetz Gas AG,1990,,,,,,,,,,,,,,,,Die VNG - Verbundnetz Gas AG ist ein deutsches Energieunternehmen mit Hauptsitz in Leipzig. Das Unternehmen ist im Bereich der Erdgasversorgung und -verteilung tätig und zählt zu den führenden Gasversorgern in Deutschland. VNG betreibt ein umfangreiches Gasnetz und bietet auch Dienstleistungen im Bereich erneuerbare Energien an.,Ulf Heitmüller,,,,,,,,,,,,False,False,True,False,False
49,Adidas,Adidas_image.png,ADS.DE,Adidas AG,1949,,,,,,,,,,,,,,,,"Adidas AG ist ein deutsches multinationales Unternehmen, das sich auf die Herstellung von Sportbekleidung, Schuhen und Zubehör spezialisiert hat. Das Unternehmen wurde 1949 von Adolf Dassler gegründet und hat sich seitdem zu einem der weltweit führenden Sportartikelhersteller entwickelt. Adidas ist bekannt für seine innovativen Designs, hochwertigen Produkte und starke Präsenz im globalen Sportmarkt.",Kasper Rorsted,,,,,,,,,,,,False,False,True,False,False
50,Henkel,Henkel_image.png,HEN3,Henkel AG & Co. KGaA,1876,,,,,,,,,,,,,,,,"Henkel ist ein deutsches Unternehmen, das sich auf Konsum- und Industriegüter spezialisiert hat. Das Unternehmen wurde 1876 gegründet und hat eine starke Marktposition in den Bereichen Klebstoffe, Schönheitspflege und Wasch- und Reinigungsmittel. Henkel ist international tätig und bekannt für seine innovativen Produkte.",Carsten Knobel,,,,,,,,,,,,False,False,True,False,False
